future_price,CallDelta,CallIV,CallLTP,CallOI,CallVega,PutDelta,PutIV,PutLTP,PutOI,PutVega,Strikes,index_x,index_y,name
21657,23.49,14.38,24.1,13642700,376.23,-78.82,13,147.45,2854300,354.76,21700,68,228,
21660.45,23.13,14.8,24.2,13644950,371.31,-82.77,11.53,146.6,2996300,311.11,21700,77,256,
21675.55,25.32,14.78,27.1,13822450,388.45,-80.39,11.5,135.45,2842900,335.95,21700,69,216,
21689.85,25.63,15.56,28.85,13555800,389.1,0,0,120.25,3183950,0,21700,75,269,
21662.4,23.19,14.55,23.55,13763600,366.85,-80.27,12.54,145.8,2870450,334.01,21700,69,254,
21616.1,25.47,14.23,25.9,7870150,383.56,-72.18,15.94,145.85,1826400,401.09,21650,77,303,
21632.2,26.98,13.95,27.3,8046400,393.43,-73.64,13.54,128.45,1782350,388.81,21650,64,221,
21663,21.6,14.05,20.45,13894500,347.42,-86.03,10.23,140.55,2703150,263.53,21700,78,311,
21664.55,21.82,13.54,19.9,13992150,347.97,-78.85,13.16,143.95,2733950,341.73,21700,70,252,
21660.5,21.7,13.4,19.45,13998000,345.14,-77.86,13.66,144.5,2792200,349.15,21700,66,232,
21657.5,20.29,13.44,17.8,14013250,330.12,-82.12,12.15,145.25,2883850,305.47,21700,73,218,
21661,20.68,12.91,17.45,14284100,332.36,-75.89,15,148.45,2778650,362.71,21700,75,266,
21651.35,19.28,12.69,15.6,14272150,317.03,-73.6,17.38,160.4,2809500,378.47,21700,78,226,
21633.8,25.4,11.64,20.35,8030600,368.96,-66.63,17.82,134.3,1728450,418.82,21650,81,265,
21633.6,24.2,11.95,19.5,8315100,357.63,-69.32,16.5,133.4,1437900,402.23,21650,73,249,
21615.35,20.83,11.61,15.5,8110100,326.65,-70.37,17.54,145.25,1491750,393.74,21650,86,251,
21583,24.97,11.07,18.6,14469800,359.37,-65.71,18.34,132.4,4605850,415.99,21600,84,281,
21669,13.4,18.16,7.05,13872150,124.34,-81.35,22.56,129.65,1839450,154.46,21700,34,133,
21698.35,17.44,15.31,8.1,21122100,145.34,-73.74,22.52,101.55,4104400,184.22,21700,78,331,
21698.6,15.33,15.09,6.65,25480450,130.82,-78.52,19.51,98.8,4839350,161.48,21700,75,252,
21699.35,13.81,15.59,5.9,26414000,119.19,-82.26,18.34,101.65,4892550,140.57,21700,73,243,
21737.75,7.72,14.71,2.7,16190850,76.54,-87.21,18.42,117.4,2167150,110.63,21750,88,270,
21741.05,7.96,15.06,2.8,15881550,76.48,-91.72,15.29,112.8,2586300,78.72,21750,83,237,
21740,7.97,15.44,2.8,16495350,74.57,-95.76,12.61,110.8,2767200,45.41,21750,80,224,
21742,7.09,14.97,2.3,16677200,66.39,0,0,107.4,2755050,0,21750,83,201,
21755.05,3.24,16.59,1,19560800,34.51,-85.88,28.44,156.2,2379950,106.55,21800,87,240,
21749,6.05,14.14,1.7,16817200,55.33,-80.33,25.63,114.45,2858850,127.95,21750,77,203,
21751.55,2.37,17.61,0.7,19437800,25,-96.14,19.75,158,2375500,37.44,21800,78,208,
21754.85,2.44,17.65,0.7,18609350,24.74,-91.21,25.66,155.25,2478000,68.9,21800,77,216,
21754.6,2.39,18.82,0.7,18166300,23.36,0,0,154.15,2489850,0,21800,75,222,
21773.45,2.96,17.52,0.8,17770650,26.89,-84.67,32.27,143,2415400,94.59,21800,91,205,
21773,2.81,18.22,0.75,17366150,24.63,-83.23,36.06,146.05,2336950,96.02,21800,85,246,
21768.8,2.47,19.15,0.65,17446250,21.1,-83.23,38.98,150.5,2350050,91.5,21800,102,223,
21772,2.83,19.97,0.75,17381100,22.42,-80.43,44.28,148.8,2340850,95.6,21800,93,182,
21765.25,1.94,21.59,0.5,17564350,15.4,-88.17,37.62,153,2336500,64.54,21800,101,182,
21778.65,2.35,22.43,0.6,17710050,16.88,-84.7,43.45,146.85,2368600,72.01,21800,91,189,
21764.6,2.28,25.06,0.6,17898950,15.23,-84.26,49.74,153.35,2396050,67.85,21800,88,194,
21761,1.95,27.37,0.5,18154550,12.15,-86.96,50.18,154.25,2373750,54.47,21800,96,193,
21760,1.47,29.41,0.35,17685200,8.53,-88.12,54.14,154.8,1910750,45.55,21800,103,192,
21753.4,1.09,34.02,0.25,18205500,5.67,0,0,154.35,1588300,0,21800,78,175,
21763.7,0.56,34.88,0.1,16902150,2.57,-85.43,83.69,153,1458800,36.78,21800,114,174,
21774,0.32,45.77,0.05,14510450,1.09,-86.72,111.77,148.25,1144400,24,21800,121,137,
21826.6,37.6,10.25,75.55,1184450,1081.29,-62.3,10.33,170.85,127900,1082.2,21850,37,99,
21811,36.92,9.86,70.8,2165900,1074.01,-62.17,10.6,174.5,239000,1082.36,21850,84,239,
21807.85,35.77,10.16,69.6,2440800,1061.13,-64.73,9.8,173.3,308900,1055.81,21850,77,234,
21805.05,37.48,9.6,70.3,2554650,1077.72,-61.07,10.84,172.75,334000,1090.12,21850,76,209,
21804.8,36.8,9.96,70.95,2368450,1070.07,-62.74,10.32,172.2,381300,1074.43,21850,71,206,
21806,36.62,9.91,70.1,2513050,1067.45,-62.97,10.22,171.55,369650,1071.3,21850,70,214,
21777.1,38.66,10.4,79.25,5534450,1082.78,-62.1,9.76,159.3,2147500,1076.37,21800,76,224,
21747.05,43.75,10.14,92.4,4912050,1113.37,-55.64,11.14,150.65,2107750,1115.95,21750,74,218,
21759,37.47,10.12,73.6,6129600,1070.4,-62.12,10.47,170.7,1880450,1074.06,21800,76,221,
21759.6,37.44,10.32,74.85,6259550,1069.17,-62.61,10.28,169.8,1918800,1068.73,21800,67,197,
21741.7,43.34,9.99,89.6,5027450,1108.58,-55.85,11.26,152.8,2178500,1112.16,21750,65,182,
21754,36.83,10.11,71.55,6610550,1061.59,-62.89,10.33,171.75,1974450,1064.2,21800,66,192,
21777.05,38.29,10.55,78.85,6581550,1074.06,-63.39,9.24,155.55,2063100,1058.99,21800,73,236,
21778.05,38.83,10.32,78.7,6522300,1077.93,-62.22,9.45,153.75,2045800,1069.12,21800,77,222,
21766,37.38,10,72.1,6570600,1064.25,-62.65,9.98,164.3,2047550,1064.01,21800,73,205,
21767.4,36.94,10.25,72.6,6632450,1059.03,-64.16,9.45,162.25,2004950,1048.32,21800,65,216,
21768,37.84,10.05,73.6,6553800,1066.67,-62.3,9.94,161.7,2011550,1065.47,21800,66,195,
21762,37.58,9.86,71.45,6589600,1063.48,-61.91,10.28,165.3,2004450,1067.94,21800,65,181,
21753,36.05,9.95,67.85,6924700,1047.5,-63.84,10.03,170.15,1959450,1048.6,21800,75,216,
21750,42.21,10.37,88.65,4719500,1093.83,-58.16,9.93,142.85,2006000,1091.79,21750,72,208,
21707.25,38.98,9.68,73.65,4616300,1070.51,-59.56,11.12,166.55,1685850,1081.15,21750,84,224,
21706.65,37.76,9.78,70.95,4669050,1059.08,-60.82,11.04,171.2,1387400,1070.67,21750,71,213,
21744.55,42.56,9.74,84.15,4587900,1093.23,-56.69,10.76,148,1296900,1096.94,21750,80,212,
21805,33.4,10.44,63.8,2019050,1015.22,-71.76,7.83,165.3,374000,942.96,21850,90,243,
21778.05,38.57,9.48,70.95,6404800,1065.97,-61.19,9.68,151.65,1768850,1067.92,21800,83,235,
21790,40.59,11.52,68.5,5593550,796.78,-58.24,13.1,138.9,1516850,802.16,21800,30,97,
21775.4,38.73,11.68,64.75,6731600,785.06,-60.05,13.08,145.8,2238500,791.85,21800,76,239,
21720,36.91,12.95,66.65,4954950,769.79,-64.1,12.02,149.6,1921250,762.62,21750,69,217,
21740,40.05,12.68,73.35,5275950,788.12,-60.77,11.74,132.75,1808150,783.74,21750,82,214,
21750,42.51,12.14,76.55,5143400,798.58,-57.2,12.6,128.4,1944300,799.66,21750,70,218,
21764,36.63,11.82,60.05,7628300,766.08,-62.88,12.27,147.25,2340150,769.43,21800,70,221,
21736.95,40.14,12.15,70.2,5001000,784.87,-60.1,11.88,131.15,2336500,783.66,21750,68,230,
21699.4,42.55,12.28,77,9375600,793.02,-57.25,12.6,127.7,5895900,793.77,21700,75,218,
21660.65,37.45,12.38,64.3,10740950,764.39,-61.76,13.21,152.2,4619300,769.35,21700,80,205,
21675.85,39.92,12.23,69.55,10798550,778.06,-59.57,12.86,138.95,4568400,780.62,21700,65,191,
21691.1,41.87,12.01,73.15,10078850,786.3,-57.76,12.56,128.5,4543700,787.8,21700,63,215,
21629.85,39.46,13.13,73,4823050,771.02,-60.85,12.77,142.3,2267050,769.37,21650,72,219,
21654,34.88,12.78,59.6,11053650,740.5,-65.82,12.2,156.45,3565000,734.89,21700,69,185,
21650.3,34.55,12.88,59.15,11107350,736.53,-66.68,11.91,156.15,3674450,726.38,21700,60,164,
21657.7,35.89,12.39,59.95,10810250,745.88,-63.76,12.72,153.4,3669000,748.44,21700,63,191,
21641.9,40.64,12.78,73.7,5139450,772.21,-59.59,12.47,133.15,2238250,771.09,21650,69,188,
21645.3,40.67,13.07,75.3,5176150,770.98,-60.28,11.9,129.25,2132100,766.31,21650,56,179,
21662.2,34.95,13.27,61.5,11042900,734.74,-67.98,11.04,149.05,3510550,709.92,21700,62,180,
21634.3,37.74,13.79,71,5293000,751.63,-65,11.26,139.3,2175000,732.73,21650,66,194,
21660.25,34.18,13.14,58.8,11365300,726.06,-68.71,11.03,151.45,3413900,700.49,21700,69,203,
21664.6,34.12,13.51,60.2,10996750,724.27,-71.16,9.97,146.35,3525700,673.94,21700,61,195,
21619.6,36.61,13.28,65.15,5651400,740.37,-64.51,12.25,148.8,2170600,732.54,21650,73,207,
21596.8,41.24,13.12,76.2,8059500,764.1,-58.93,12.88,133,4163000,763.36,21600,63,192,
21596.1,41.12,12.66,73.15,8543200,762.32,-58.21,13.66,138,3959250,765.17,21600,65,188,
21575,38.57,12.92,67.85,8399800,747.55,-61.1,13.3,145.7,3295800,749.4,21600,63,213,
21717.5,34.17,13.38,51.65,5194250,625.54,-67.95,11.74,135.9,610150,609.77,21750,33,95,
21726.65,35.81,12.9,53.1,5048100,635.25,-65.6,11.71,126.6,1035150,626.07,21750,72,237,
21687.2,37.19,14.11,60.95,9316200,640.42,-65.66,11.5,123.95,4255450,622.77,21700,70,227,
21708,32.12,13.2,46.4,5259950,605.73,-70.83,11.21,139.7,874500,580.51,21750,78,221,
21717.95,35.1,12.42,49.35,5164950,626.28,-64.51,12.77,133,1002450,628.81,21750,70,225,
21750,39.94,12.53,59.8,4573550,651.6,-60.14,12.44,114.2,1400100,651.27,21750,70,215,
21771.6,34.66,12.52,48.75,6336950,621.82,-65.54,12.36,132.15,1947150,620.49,21800,83,242,
21757.1,30.89,13.38,44.25,6940550,591.25,-73.63,10.61,141.95,2030900,548.44,21800,75,218,
21770,33.17,12.86,46.85,6638500,608.25,-67.97,12,136.7,2015650,599.58,21800,65,200,
21771.65,32.45,13.35,47.05,6312250,601.21,-71.95,10.5,133.3,2034850,563.15,21800,69,195,
21794.7,34.23,14.05,53.2,6352850,612.71,-72.33,9.7,124.15,2240450,558.21,21800,67,172,
21778.45,32.83,13.48,48.05,6680700,601.2,-71.72,10.48,131.6,2311350,562.67,21800,67,188,
21772,31.72,12.93,43.85,6727300,591.16,-70.44,11.48,138.75,2196150,573.06,21800,67,202,
21784.2,34.14,12.98,48.65,6711250,607.82,-67.57,11.67,129.9,2256900,595.6,21800,68,224,
21777.6,33.54,12.75,46.5,6835450,602.14,-67.7,11.82,131.7,2313400,593.08,21800,60,193,
21782.8,34.87,12.54,48.2,6930100,609.85,-65.3,12.4,128.9,2320050,608.78,21800,66,203,
21785,34.33,13.07,49,7683450,604.66,-68.5,10.99,124.55,2395850,584.11,21800,63,205,
21785.95,34.32,12.48,46.65,7902700,603.18,-66.85,11.58,125.05,2374950,595.14,21800,62,192,
21775.8,32.62,12.48,43.35,8208900,589.53,-68.91,11.42,130.25,2331750,577.75,21800,68,182,
21758.5,28.98,12.78,37.65,8066250,557.64,-75.59,10.25,140.8,2234800,511.33,21800,72,214,
21720,32.68,11.78,40.75,5535700,585.82,-65.8,12.97,134.65,1750400,596.43,21750,77,224,
21646.4,36.21,14.45,57.25,5894400,604.52,-66.49,12.04,126.5,2850100,587.6,21650,76,221,
21645.05,36.17,14.1,55.65,5855000,602.81,-65.97,12.17,125.8,2455500,589.64,21650,68,213,
21627.7,34.62,13.85,51.25,6099350,591.73,-66.25,13.09,136,2213250,586.05,21650,71,200,
21601,29.72,12.84,38.4,5920650,553.39,-70.66,12.58,147.5,2024200,550.05,21650,71,207,
21612.4,29.3,16.07,37.3,5381450,435.17,-74.15,13.55,138.65,1512000,409.21,21650,30,91,
21537.6,38.9,15.23,52.15,5560900,482.14,-58.97,18.77,124.3,4262650,488.95,21550,80,216,
21586.4,38.87,15.11,51.6,9775350,481.14,-59.59,17.51,117.75,4179300,486.23,21600,80,224,
21576.45,36.52,15.31,47.6,9959050,469.64,-62.02,17.19,123.35,4367050,475.58,21600,65,219,
21610.1,31.31,15.96,39.9,6942700,441.14,-71.01,14.07,129.6,1666000,426.11,21650,80,202,
21589.2,38.84,14.65,49.35,10319800,474.99,-59.21,17.7,116.25,3860650,481.23,21600,67,216,
21588,37.03,15.21,47.6,10459350,465.82,-62.27,16.08,114.7,4066050,468.6,21600,65,202,
